timestamp,faceRotaion-x,faceRotaion-y,faceRotaion-z,faceRotaion-w,facePosition-x,facePosition-y,facePosition-z,deviceRotation-x,deviceRotation-y,deviceRotation-z,deviceRotation-w,devicePosition-x,devicePosition-y,devicePosition-z,rightEyePotision-x,rightEyePotision-y,rightEyePotision-z,leftEyePotision-x,leftEyePotision-y,leftEyePotision-z,rightEyeLookAtPosition-x,rightEyeLookAtPosition-y,rightEyeLookAtPosition-z,leftEyeLookAtPosition-x,leftEyeLookAtPosition-y,leftEyeLookAtPosition-z,rightEyeLookAtPoint-x,rightEyeLookAtPoint-y,leftEyeLookAtPoint-x,leftEyeLookAtPoint-y,centerEyeLookAtPoint-x,centerEyeLookAtPoint-y,rightEyeBlink,leftEyeBlink,rightEyeDistance,leftEyeDistance,targetPoint-x,targetPoint-y
2020111616031841500,0.07269942,0.01530812,-0.096246794,0.992581,-0.019032994,0.06304782,-0.29573867,0.15129028,-0.016457835,-0.034280945,0.9877577,0.0,0.0,0.0,-0.0444726,0.09213071,-0.26343566,0.018366994,0.08034065,-0.26615557,0.092315465,-0.48683834,1.6460364,0.005970684,-0.4732193,1.6556711,-73.02133942,1007.52947998,389.11856079,905.67382812,151.43713379,-60.16198349,0.044151507,0.04414836,0.2826026,0.27862296,233.91768032,474.94512022
2020111616031841900,0.07147439,0.014948214,-0.096177965,0.9926821,-0.018910846,0.06288661,-0.29623303,0.15167184,-0.016307393,-0.034469265,0.9876951,0.0,0.0,0.0,-0.044370435,0.092047006,-0.26401573,0.018472156,0.08025906,-0.2666751,0.09271274,-0.48374096,1.6463976,0.0064205388,-0.470175,1.6560518,-71.10509491,1010.13568115,390.76388550,908.50335693,152.37265015,-60.90384293,0.043963432,0.043960977,0.28310016,0.27910277,232.88138054,474.25425369
2020111616031842100,0.07066587,0.014792733,-0.09588633,0.99277055,-0.018780341,0.06269068,-0.29649144,0.15174384,-0.01621659,-0.034579422,0.9876816,0.0,0.0,0.0,-0.044263735,0.0918886,-0.26432702,0.018586414,0.08013391,-0.26695466,0.09280969,-0.47981697,1.6473119,0.0065263454,-0.4662804,1.6569179,-69.84136963,1014.44989014,391.99252319,913.23132324,153.29655457,-61.26313782,0.043638483,0.04363641,0.28332236,0.27934152,231.62182385,473.41454923
2020111616031842400,0.070353396,0.014594499,-0.09597922,0.99278665,-0.018846255,0.06236111,-0.29634976,0.15150663,-0.015655058,-0.034787156,0.98771983,0.0,0.0,0.0,-0.04433412,0.09158546,-0.2642129,0.018514503,0.07981645,-0.26681256,0.09175945,-0.47912037,1.647795,0.0054573705,-0.46555245,1.6573504,-72.22180176,1013.07745361,389.70632935,911.79650879,153.87762451,-60.78516006,0.043495666,0.043493837,0.2831287,0.27910998,230.36270413,472.57513609
2020111616031842600,0.070778705,0.014492927,-0.09591714,0.99276394,-0.018999781,0.06189921,-0.29590198,0.1507776,-0.014891832,-0.03482498,0.98784184,0.0,0.0,0.0,-0.044499706,0.09109453,-0.2637483,0.018350761,0.07933347,-0.26633942,0.09095685,-0.48172727,1.6476717,0.004609717,-0.46817023,1.6572121,-75.29273224,1005.13806152,386.90832520,903.85858154,154.20307922,-59.74220657,0.043513764,0.043512013,0.28256255,0.27850896,229.12308184,471.74872123
2020111616031842900,0.07202694,0.013528997,-0.09600308,0.9926795,-0.018770436,0.06188135,-0.29542568,0.15070488,-0.0148416,-0.034828827,0.9878536,0.0,0.0,0.0,-0.04432866,0.09101179,-0.26325944,0.018523002,0.07923398,-0.26574326,0.08678609,-0.4872659,1.6468202,0.00035758503,-0.4736986,1.6562182,-80.20322418,996.30895996,382.13061523,895.03546143,154.23976135,-58.38593292,0.043511964,0.043510348,0.28205267,0.27792194,227.83140653,470.88760436
2020111616031843100,0.072722174,0.012314883,-0.096034884,0.99264145,-0.018677248,0.061782815,-0.29514652,0.15053132,-0.014758337,-0.03466919,0.9878869,0.0,0.0,0.0,-0.044309385,0.09088298,-0.26301172,0.018545276,0.07909134,-0.26534957,0.08223847,-0.49048308,1.6464387,-0.00425913,-0.47691783,1.6556749,-86.99385834,990.30688477,375.39266968,889.19836426,153.88691711,-56.96213531,0.043455176,0.043453682,0.28177688,0.27750632,226.61326566,470.07551044
2020111616031843400,0.073074885,0.011245396,-0.09584743,0.9926464,-0.018571619,0.061787948,-0.29496494,0.15053132,-0.014758337,-0.03466919,0.9878869,0.0,0.0,0.0,-0.044281073,0.09086674,-0.26287258,0.018581085,0.079089366,-0.26507685,0.078469425,-0.49233,1.6462673,-0.008080626,-0.4788029,1.655352,-92.47301483,987.46887207,369.98556519,886.74255371,152.94696045,-55.66846848,0.043523576,0.04352227,0.28163728,0.2772474,225.36154521,469.24103014
2020111616031843600,0.07321117,0.010874673,-0.0953122,0.99269205,-0.01868218,0.06179936,-0.29481822,0.15060788,-0.014491175,-0.034589227,0.98788196,0.0,0.0,0.0,-0.044448107,0.09084548,-0.26274157,0.018427817,0.0791323,-0.26489535,0.07797133,-0.4940958,1.645886,-0.00863863,-0.48068994,1.654966,-94.84105682,984.58374023,367.71398926,884.44531250,151.71984863,-54.37767029,0.04373363,0.04373248,0.2815345,0.2770759,224.06639868,468.37759912
2020111616031843800,0.0729402,0.010594537,-0.09501354,0.9927437,-0.018680526,0.061763693,-0.29478285,0.15064055,-0.014408032,-0.034580007,0.9878787,0.0,0.0,0.0,-0.044480547,0.090814166,-0.26273754,0.018403167,0.079135425,-0.26484987,0.077606276,-0.49368936,1.6460449,-0.009070486,-0.48033828,1.6551068,-95.71443176,985.02014160,366.83895874,885.25750732,149.94216919,-52.88809586,0.043780357,0.04377938,0.28152573,0.2770317,222.85777518,467.57185012
2020111616031843900,0.072805814,0.01063564,-0.094721004,0.992781,-0.01869319,0.06174897,-0.29473144,0.15071511,-0.014236779,-0.034532372,0.9878714,0.0,0.0,0.0,-0.04450851,0.09079232,-0.262692,0.018382039,0.07915056,-0.26480532,0.077923015,-0.49378684,1.6460456,-0.008793429,-0.4804836,1.6551093,-95.52911377,984.78155518,367.06369019,885.30883789,147.71405029,-50.73245239,0.043736033,0.043735236,0.28148064,0.276992,221.62120306,466.74746871
2020111616031844000,0.07291279,0.0109146135,-0.0945523,0.9927862,-0.018765856,0.06181435,-0.2946349,0.15093108,-0.013894647,-0.034475315,0.9878452,0.0,0.0,0.0,-0.04457573,0.090839446,-0.26257455,0.01831808,0.07922179,-0.26472297,0.07899261,-0.49488473,1.6457386,-0.007759083,-0.4816169,1.6548555,-94.59470367,983.68371582,368.02636719,884.30657959,145.40269470,-48.20001602,0.04379108,0.043790434,0.28139687,0.2769294,220.26339063,465.84226042
2020111616031844100,0.0729305,0.01083212,-0.09468806,0.9927729,-0.018787468,0.061857294,-0.29457328,0.1511103,-0.013607022,-0.03444547,0.9878229,0.0,0.0,0.0,-0.0445938,0.09088913,-0.26251617,0.018297026,0.07925364,-0.2646556,0.07869412,-0.49594185,1.6454751,-0.008083511,-0.4826624,1.6546036,-95.22448730,982.51690674,367.34213257,883.00128174,142.90101624,-45.09186172,0.04390192,0.04390145,0.2813613,0.27687272,219.03516130,465.02344087
2020111616031844200,0.072918944,0.010680295,-0.09470474,0.9927737,-0.018678809,0.061790485,-0.2945017,0.15108733,-0.01359053,-0.03444944,0.9878264,0.0,0.0,0.0,-0.04449306,0.09082541,-0.26245376,0.018397747,0.07918635,-0.2645739,0.078422934,-0.49655655,1.6453913,-0.008371964,-0.48328403,1.6545169,-94.71205139,981.01489258,367.86563110,881.49786377,140.68446350,-41.97380066,0.043966666,0.04396636,0.28126654,0.27678207,217.82015191,464.21343461
2020111616031844300,0.07297772,0.010340192,-0.09471711,0.99277186,-0.0186123,0.061701607,-0.2944285,0.15099756,-0.013543245,-0.034462754,0.9878404,0.0,0.0,0.0,-0.04444629,0.090736814,-0.26239672,0.018445082,0.0790931,-0.26447442,0.07750575,-0.49711442,1.6453658,-0.009292098,-0.48385245,1.6544634,-95.68280792,979.36206055,366.93695068,879.88476562,138.66639709,-39.48630905,0.0439347,0.04393454,0.2811773,0.27666345,216.52276853,463.34851235
2020111616031844500,0.07286665,0.010124382,-0.09466351,0.9927874,-0.018561007,0.061532643,-0.29439268,0.15064323,-0.013539837,-0.034536507,0.987892,0.0,0.0,0.0,-0.044410635,0.09057419,-0.2623793,0.01848253,0.078934975,-0.26442775,0.07685651,-0.49726164,1.645432,-0.00991565,-0.48401797,1.6544985,-96.33988953,977.54510498,366.35736084,878.15264893,137.07089233,-37.70397568,0.044114035,0.04411404,0.28110296,0.27657616,215.36365972,462.57577315
2020111616031844600,0.072705224,0.010085615,-0.094622456,0.99280345,-0.018545123,0.061258055,-0.29433176,0.15002975,-0.013494884,-0.03464583,0.9879821,0.0,0.0,0.0,-0.044398822,0.09030802,-0.26232928,0.018495401,0.078673296,-0.26437062,0.07660548,-0.49745393,1.6455209,-0.010142617,-0.48421997,1.6545691,-96.64459991,974.70739746,366.14624023,875.34790039,136.12603760,-36.23147964,0.044360284,0.044360414,0.28096876,0.2764478,214.04118428,461.69412285
2020111616031844700,0.072876364,0.009798037,-0.09452256,0.99280334,-0.01854981,0.061261248,-0.2942323,0.1498901,-0.013359174,-0.03464775,0.98800504,0.0,0.0,0.0,-0.04442773,0.09029806,-0.26223746,0.018469533,0.07867355,-0.26424327,0.07543342,-0.4986478,1.6453205,-0.011322109,-0.4854362,1.6543224,-98.71552277,972.84509277,364.13778687,873.62609863,135.52151489,-34.84446716,0.044608008,0.04460827,0.2808844,0.27632436,212.76899466,460.84599644
2020111616031844800,0.07326857,0.010021116,-0.09452674,0.99277186,-0.018543882,0.06144086,-0.29413053,0.15006095,-0.013248774,-0.03481316,0.98797476,0.0,0.0,0.0,-0.044410262,0.09045097,-0.26210216,0.018486368,0.0788288,-0.26414084,0.075684726,-0.5001756,1.6449213,-0.01105449,-0.48696184,1.6539336,-98.21546936,972.14398193,364.70547485,872.84252930,135.20237732,-33.64234161,0.044892892,0.044893287,0.28080454,0.27627182,211.52953693,460.01969129
2020111616031844900,0.073236376,0.010085575,-0.09453685,0.9927727,-0.018476123,0.061375603,-0.29406828,0.15006095,-0.013248774,-0.03481316,0.98797476,0.0,0.0,0.0,-0.04433788,0.090387635,-0.2620379,0.018558366,0.07876474,-0.26408452,0.0756481,-0.4999559,1.6450803,-0.011083655,-0.4867283,1.6540763,-97.64069366,972.13830566,365.35232544,872.80609131,135.03172302,-32.37568283,0.04503237,0.045032818,0.28071272,0.2762045,210.30141601,459.20094401
2020111616031845000,0.07406717,0.012864741,-0.09460717,0.9926722,-0.019545302,0.062335584,-0.29390886,0.15213612,-0.011030619,-0.034896202,0.9876817,0.0,0.0,0.0,-0.04524111,0.091271326,-0.26167658,0.01764584,0.07966787,-0.26408654,0.08450962,-0.50224614,1.6438159,-0.0021608863,-0.48903048,1.6532526,-92.94771576,977.96307373,370.16897583,877.88616943,135.31607056,-31.66362190,0.045183737,0.045184176,0.2808057,0.2764056,208.99977574,458.33318383
2020111616031845200,0.07255253,0.01372228,-0.09492663,0.992742,-0.01929913,0.06194741,-0.2944565,0.15248755,-0.010487395,-0.03497397,0.9876307,0.0,0.0,0.0,-0.044916198,0.09098708,-0.262255,0.017960466,0.079347976,-0.26475966,0.08831392,-0.4965011,1.6448653,0.0017185286,-0.48321593,1.654422,-83.89636230,983.12347412,378.94198608,882.66082764,136.39675903,-31.55332565,0.045535784,0.04553622,0.28120065,0.27697718,207.77399057,457.51599371
2020111616031845300,0.07187788,0.014028473,-0.0952048,0.99276024,-0.018945526,0.061682645,-0.29483774,0.15319842,-0.009228241,-0.035171177,0.9875262,0.0,0.0,0.0,-0.044523496,0.09077633,-0.26265395,0.018345553,0.079103425,-0.2651923,0.09072776,-0.49386114,1.6451997,0.004223196,-0.48055512,1.6548551,-76.32982635,984.19018555,386.32717896,883.43200684,138.29074097,-31.65852547,0.045749206,0.045749705,0.2814423,0.2773461,206.52043113,456.68028742
2020111616031845400,0.07273406,0.016200319,-0.09510732,0.99267423,-0.019414617,0.061919652,-0.29512504,0.15464285,-0.005771562,-0.03542408,0.9873183,0.0,0.0,0.0,-0.044872597,0.09093277,-0.2627738,0.017990785,0.07929483,-0.2655971,0.099315226,-0.4958151,1.6437774,0.012910169,-0.48258135,1.653848,-66.44405365,981.50506592,396.09219360,880.37103271,141.11547852,-31.62669182,0.045489144,0.045490097,0.28166008,0.2777646,205.30122855,455.86748570
2020111616031845500,0.07483615,0.018014267,-0.09448704,0.9925459,-0.02013748,0.06251441,-0.2949216,0.15696616,-0.0017039165,-0.035342824,0.98696995,0.0,0.0,0.0,-0.045534916,0.091343954,-0.26235935,0.017335547,0.07980763,-0.26543128,0.106263004,-0.50174665,1.6416368,0.019924281,-0.48868883,1.6520686,-62.27010727,976.23663330,400.53430176,875.21801758,144.46597290,-31.23708534,0.04335405,0.04336315,0.281513,0.27771127,204.01680806,455.01120538
2020111616031845600,0.07561373,0.016613854,-0.0942606,0.99253285,-0.019355766,0.062220465,-0.2950984,0.15786618,-0.00091458904,-0.03518,0.9868332,0.0,0.0,0.0,-0.044855572,0.09100273,-0.26257434,0.018026136,0.07948343,-0.265475,0.102355845,-0.5036268,1.641302,0.016011104,-0.49062207,1.6515477,-61.55662918,968.80725098,401.11614990,868.33544922,147.94308472,-30.30933189,0.042288993,0.042300917,0.2814939,0.27770403,202.77067387,454.18044925
2020111616031845700,0.075194016,0.014734072,-0.094155826,0.9926044,-0.018466666,0.06160935,-0.29511434,0.15814674,-0.0004871641,-0.035096824,0.9867916,0.0,0.0,0.0,-0.044084214,0.09043166,-0.26271853,0.018807136,0.07890596,-0.2653746,0.09764927,-0.49974135,1.6429595,0.011314347,-0.48674718,1.6529534,-61.46763611,969.70690918,401.37335205,869.78540039,151.46328735,-29.78118515,0.041483883,0.041497264,0.28132245,0.27749512,201.48488545,453.32325697
2020111616031845800,0.07527235,0.01459542,-0.09361985,0.99265116,-0.018502802,0.061354637,-0.29489127,0.15880047,0.0018388972,-0.034427818,0.9867085,0.0,0.0,0.0,-0.04416263,0.09014555,-0.262501,0.018741753,0.07868624,-0.26513526,0.099185914,-0.49794587,1.6436995,0.012877222,-0.48507452,1.6537551,-60.12828445,970.77996826,403.13256836,871.39111328,155.34239197,-29.56618118,0.041067507,0.041081417,0.28103974,0.27719936,200.30087569,452.53391713
2020111616031845900,0.07478991,0.01674981,-0.09243429,0.9927648,-0.019886728,0.060780186,-0.29453287,0.15867226,0.0070898402,-0.033153307,0.9867491,0.0,0.0,0.0,-0.04548885,0.089518964,-0.26205078,0.01743485,0.07822888,-0.26494226,0.10856645,-0.49706638,1.6437788,0.022285057,-0.48445964,1.6542656,-58.86032486,967.26031494,405.02444458,868.54315186,159.32609558,-29.10702896,0.04124373,0.041257236,0.28063053,0.2767998,199.05152732,451.70101821
2020111616031846000,0.074742824,0.015035871,-0.09262058,0.99277836,-0.018866036,0.06025256,-0.29405427,0.15842618,0.008860519,-0.032793246,0.98678637,0.0,0.0,0.0,-0.044559464,0.08902088,-0.26167056,0.018366568,0.07769048,-0.26434547,0.10352333,-0.4968345,1.6448566,0.017162345,-0.48418444,1.6551065,-58.08173370,964.27465820,406.07791138,865.67608643,163.34031677,-28.35734940,0.041474745,0.041486785,0.2799674,0.27613705,197.76536563,450.84357709
2020111616031846100,0.07481825,0.013533693,-0.093339734,0.992727,-0.01813165,0.059934855,-0.29385623,0.15817292,0.010343962,-0.032479867,0.9868229,0.0,0.0,0.0,-0.043870553,0.08875057,-0.2615509,0.01904398,0.07731509,-0.26404247,0.098113,-0.4962122,1.6457139,0.011682589,-0.4834059,1.6557329,-59.88266373,963.32409668,404.22705078,864.30999756,166.69647217,-26.94659233,0.041852746,0.041862883,0.27966082,0.27578747,196.53671497,450.02447665
2020111616031846200,0.07466353,0.012988146,-0.09375525,0.9927067,-0.018132158,0.0596794,-0.2933833,0.15778852,0.011767735,-0.032117356,0.9868803,0.0,0.0,0.0,-0.043876946,0.08853192,-0.26111552,0.019029636,0.07703841,-0.26353994,0.09398909,-0.49631572,1.6464868,0.0075075105,-0.4833746,1.6563051,-66.50941467,962.66967773,397.84445190,863.30310059,168.51094055,-24.95601463,0.04470518,0.044706304,0.27918524,0.27522781,195.29267514,449.19511676
2020111616031846300,0.073651925,0.011262716,-0.09466733,0.9927168,-0.017522445,0.059006426,-0.29307497,0.15663032,0.011400482,-0.032038167,0.9870717,0.0,0.0,0.0,-0.043308042,0.08798741,-0.2609552,0.019582136,0.07636011,-0.2631574,0.08443352,-0.4921571,1.648787,-0.0021107197,-0.4789108,1.6580935,-75.77664185,965.48260498,388.68777466,865.60461426,168.65663147,-23.12926483,0.045951933,0.045950316,0.27877408,0.274711,194.01453996,448.34302664
2020111616031846400,0.07371308,0.010842755,-0.09523414,0.99266267,-0.017177664,0.059017006,-0.29263654,0.1564718,0.011117334,-0.032032408,0.98710024,0.0,0.0,0.0,-0.042952918,0.0880277,-0.26053533,0.019924916,0.07632509,-0.2626901,0.07657512,-0.4941647,1.6491152,-0.01009752,-0.48063192,1.6579603,-84.44725800,964.11224365,380.02359009,863.77276611,166.95304871,-21.42971230,0.046778213,0.046775386,0.2783388,0.27427834,192.81480128,447.54320085
2020111616031846500,0.07320546,0.009926005,-0.09524121,0.99270916,-0.016973775,0.058917645,-0.29255378,0.15606242,0.010378275,-0.03203108,0.9871732,0.0,0.0,0.0,-0.04280053,0.08796981,-0.26053157,0.020079404,0.07625657,-0.26256406,0.07165359,-0.4939905,1.6495004,-0.015061308,-0.48040444,1.6580852,-90.38880920,964.00396729,374.08163452,863.87329102,164.22447205,-20.25083923,0.047474243,0.04747097,0.27829352,0.27414984,191.52834678,446.68556452
2020111616031846600,0.072371684,0.008917022,-0.09495304,0.9928075,-0.016804965,0.058779817,-0.29259688,0.15540187,0.008717523,-0.03199919,0.9872945,0.0,0.0,0.0,-0.04270546,0.087879434,-0.2606775,0.02018355,0.07619147,-0.2625695,0.065673314,-0.49407125,1.6497118,-0.021142429,-0.48045552,1.6579607,-98.35270691,962.59429932,365.96694946,863.04791260,160.62721252,-19.67581558,0.048817478,0.048817504,0.27838695,0.2741446,190.31002486,445.87334991
2020111616031846700,0.07241361,0.007579783,-0.09422691,0.9928847,-0.016520964,0.05876214,-0.2926968,0.15502098,0.0066518793,-0.0318879,0.987374,0.0,0.0,0.0,-0.042551555,0.08783609,-0.26080298,0.020374296,0.07622872,-0.2625121,0.061859228,-0.49426562,1.6497611,-0.025053555,-0.48078293,1.6578194,-102.53069305,961.46740723,361.92718506,863.00225830,156.60174561,-18.92468452,0.04951693,0.04951832,0.27846727,0.27411407,189.03109396,445.02072930
2020111616031846800,0.072492674,0.00789687,-0.0934579,0.9929491,-0.017117597,0.058882125,-0.2926998,0.15497719,0.0064132917,-0.03183175,0.98738426,0.0,0.0,0.0,-0.04317818,0.08790783,-0.26078653,0.019765127,0.07640053,-0.2625298,0.06319065,-0.49496898,1.6494333,-0.023769487,-0.4816289,1.6575501,-106.44268036,960.95178223,358.08209229,863.21075439,152.03350830,-18.02425575,0.05001272,0.050015267,0.27857092,0.27413428,187.79375964,444.19583976
2020111616031846800,0.07248763,0.008625393,-0.09319308,0.9929683,-0.017360937,0.058950525,-0.29264504,0.15503064,0.006089704,-0.03175855,0.98738027,0.0,0.0,0.0,-0.043394953,0.0879556,-0.26069137,0.019553125,0.076488525,-0.26252478,0.065073095,-0.49666506,1.6488771,-0.02190208,-0.48336723,1.6570694,-105.68274689,958.71325684,358.85855103,861.07733154,147.38409424,-17.22360992,0.05063415,0.050638486,0.27853063,0.2741388,186.50425637,443.33617091
2020111616031846900,0.072127074,0.008860403,-0.09282397,0.9930271,-0.017547376,0.05902228,-0.29282054,0.15515871,0.00595946,-0.031471755,0.9873701,0.0,0.0,0.0,-0.043588832,0.08802849,-0.26087394,0.019367345,0.07660954,-0.26272982,0.06509166,-0.49550098,1.6490171,-0.02188186,-0.48223537,1.6571641,-107.39998627,960.84631348,357.09606934,863.59014893,142.46908569,-16.94789314,0.05100738,0.05101255,0.27875474,0.27435574,185.30716860,442.53811240
2020111616031847000,0.07157249,0.0094281295,-0.09228855,0.9931119,-0.017820062,0.05923182,-0.2928805,0.15557455,0.006328473,-0.030892666,0.9873207,0.0,0.0,0.0,-0.043858677,0.08823945,-0.2609329,0.019108644,0.076892324,-0.2628499,0.06670022,-0.49391174,1.6492703,-0.020250762,-0.48072213,1.657441,-107.53477478,965.52752686,357.08041382,868.72052002,137.72914124,-17.27859116,0.051333096,0.051338688,0.27891892,0.27453166,184.03037006,441.68691337
2020111616031847100,0.07088599,0.009296175,-0.09261902,0.99313164,-0.017647825,0.059225522,-0.29293597,0.15561569,0.006375955,-0.030814817,0.9873163,0.0,0.0,0.0,-0.04367014,0.08829489,-0.2610312,0.01928987,0.076903634,-0.2629268,0.06624652,-0.49216703,1.649723,-0.02065979,-0.47892314,1.65787,-106.41766357,968.84375000,358.17718506,871.73303223,133.75036621,-18.00878906,0.051687203,0.051692896,0.27899885,0.27462113,182.77856076,440.85237384
2020111616031847200,0.071109176,0.009078039,-0.09279909,0.99310094,-0.017425047,0.059308093,-0.29299283,0.15568994,0.0064205397,-0.030724235,0.98730713,0.0,0.0,0.0,-0.043450087,0.08837495,-0.261088,0.019506218,0.07695937,-0.26295996,0.06482071,-0.49310586,1.649451,-0.022067713,-0.47981894,1.6575274,-106.41660309,967.82940674,358.09378052,870.58880615,130.68867493,-18.37533760,0.051854018,0.051859643,0.279043,0.27468377,181.56519645,440.04346430
2020111616031847300,0.07160968,0.008732007,-0.093086764,0.99304116,-0.017217401,0.05942623,-0.29294842,0.15583298,0.0062943525,-0.030672688,0.98728704,0.0,0.0,0.0,-0.043247372,0.08847998,-0.2610357,0.019702967,0.07702579,-0.26287183,0.06369228,-0.4948818,1.6490045,-0.02315028,-0.48156896,1.6570593,-106.17945099,965.96783447,358.33267212,868.46636963,128.51751709,-18.70279884,0.05204781,0.05205322,0.27899584,0.27463207,180.30010128,439.20006752
2020111616031847400,0.07193312,0.0074167107,-0.09384307,0.9929573,-0.016488438,0.059633948,-0.29299814,0.15616119,0.005041473,-0.03106417,0.9872301,0.0,0.0,0.0,-0.042550366,0.08871965,-0.26114064,0.020384787,0.077158414,-0.26282004,0.05867928,-0.4955057,1.6489468,-0.028130835,-0.48205754,1.6567957,-107.03399658,967.05395508,357.31283569,869.06134033,126.84682465,-19.11470222,0.052191526,0.05219682,0.279063,0.2746695,179.02236843,438.34824562
2020111616031847400,0.071737394,0.007930576,-0.0936934,0.9929816,-0.016707396,0.05962808,-0.29304743,0.15615854,0.0048606144,-0.031142328,0.987229,0.0,0.0,0.0,-0.042747345,0.08871327,-0.2611715,0.020190412,0.077175364,-0.26291266,0.05988006,-0.49466628,1.6490995,-0.026902428,-0.48122585,1.6569753,-107.09503937,968.33160400,357.30264282,870.39520264,125.97648621,-19.76893234,0.05237879,0.052384377,0.2791199,0.27474853,177.77872646,437.51915097
2020111616031847500,0.07112436,0.008203821,-0.0936192,0.9930304,-0.016935656,0.059595484,-0.29302755,0.15611151,0.004573091,-0.031289544,0.98723316,0.0,0.0,0.0,-0.042960994,0.08871268,-0.2611689,0.019978,0.077185646,-0.26293722,0.060282975,-0.49265224,1.6496835,-0.026485385,-0.47920293,1.6575506,-108.55834198,971.89202881,355.93740845,873.98956299,125.37561798,-20.83952332,0.05266502,0.052670974,0.2791501,0.27475938,176.54582673,436.69721782
2020111616031847600,0.070592895,0.008358909,-0.09354662,0.9930739,-0.017045913,0.05951129,-0.29288673,0.15592952,0.004209003,-0.03152187,0.987256,0.0,0.0,0.0,-0.043063954,0.088656574,-0.2610478,0.019876445,0.077139236,-0.2628292,0.060232766,-0.4914377,1.6501878,-0.02652265,-0.4779822,1.658027,-109.70805359,973.91247559,354.96472168,876.04156494,125.05648041,-22.12910080,0.05318754,0.05319373,0.27903485,0.27463564,175.28923416,435.85948944
2020111616031847700,0.07059925,0.008593629,-0.09335589,0.9930894,-0.01712235,0.059511885,-0.29274005,0.15586948,0.00395802,-0.031680048,0.98726153,0.0,0.0,0.0,-0.043138534,0.08864455,-0.26088807,0.019805849,0.077153414,-0.26269767,0.060682893,-0.49200803,1.6501492,-0.026069317,-0.47857872,1.6579943,-109.81872559,973.34271240,355.00515747,875.59246826,124.65701294,-23.58632851,0.05527448,0.055281036,0.27889314,0.27450863,174.03117979,435.02078652
