timestamp,faceRotaion-x,faceRotaion-y,faceRotaion-z,faceRotaion-w,facePosition-x,facePosition-y,facePosition-z,deviceRotation-x,deviceRotation-y,deviceRotation-z,deviceRotation-w,devicePosition-x,devicePosition-y,devicePosition-z,rightEyePotision-x,rightEyePotision-y,rightEyePotision-z,leftEyePotision-x,leftEyePotision-y,leftEyePotision-z,rightEyeLookAtPosition-x,rightEyeLookAtPosition-y,rightEyeLookAtPosition-z,leftEyeLookAtPosition-x,leftEyeLookAtPosition-y,leftEyeLookAtPosition-z,rightEyeLookAtPoint-x,rightEyeLookAtPoint-y,leftEyeLookAtPoint-x,leftEyeLookAtPoint-y,centerEyeLookAtPoint-x,centerEyeLookAtPoint-y,rightEyeBlink,leftEyeBlink,rightEyeDistance,leftEyeDistance,operationType,operationPoint-x,operationPoint-y
2020111917072867100,-0.03923508,-0.0037615388,-0.0133338645,0.99913394,-0.013162342,-0.047892243,-0.26990822,0.059185684,-0.00419472,0.009458742,0.99819326,0.0,0.0,0.0,-0.045240574,-0.017403409,-0.2438111,0.020257726,-0.01880853,-0.24317661,0.0990934,0.056840144,1.7495918,0.006548818,0.05883094,1.7552687,-94.74660492,763.16387939,410.33126831,750.83264160,157.58918762,145.87171936,0.023396568,0.023265388,0.24858287,0.24474272,gazeTarget,234.00000000,475.00000000
2020111917072867400,-0.037565798,-0.0033193573,-0.013175435,0.9992018,-0.01317312,-0.047605444,-0.26972747,0.0590806,-0.0033557983,0.009933817,0.9981981,0.0,0.0,0.0,-0.045238085,-0.01721379,-0.243501,0.02026114,-0.018601531,-0.242927,0.1008207,0.05548826,1.7498335,0.008285243,0.05746536,1.7555903,-92.65400696,763.04589844,412.69213867,750.90161133,157.76220703,144.42459106,0.020507462,0.020394996,0.24826504,0.24447916,gazeTarget,234.00000000,475.00000000
2020111917072867700,-0.03587534,-0.0031639053,-0.012439684,0.99927384,-0.0131127285,-0.047379237,-0.26979217,0.05923362,-0.0026442972,0.010456652,0.99818593,0.0,0.0,0.0,-0.045213856,-0.017123716,-0.24345279,0.020287517,-0.018416954,-0.24290441,0.10168975,0.053262226,1.7499026,0.0090984125,0.05511217,1.7557123,-91.30097198,760.73449707,414.02883911,749.41516113,158.16807556,143.30726624,0.018352441,0.018258618,0.24820712,0.24444492,gazeTarget,234.00000000,475.00000000
2020111917072868000,-0.03280904,-0.004754416,-0.01084835,0.99939144,-0.012274985,-0.046233583,-0.27024916,0.06156109,-0.0037188448,0.0113275545,0.9980321,0.0,0.0,0.0,-0.04455886,-0.016245417,-0.2438275,0.020944417,-0.017325338,-0.24308068,0.09623898,0.042898137,1.7503338,0.0034837779,0.044411197,1.7558901,-92.07980347,754.95623779,412.86410522,745.40722656,158.44181824,142.81999207,0.017409686,0.017311398,0.24839738,0.24459569,gazeTarget,234.00000000,475.00000000
2020111917072868200,-0.03263464,-0.0054225624,-0.009800093,0.9994045,-0.012247231,-0.046447698,-0.2707765,0.061925724,-0.004034568,0.011286814,0.9980088,0.0,0.0,0.0,-0.044628773,-0.016537338,-0.2443862,0.020875666,-0.01747727,-0.24355648,0.09398186,0.044530906,1.7498702,0.0011206046,0.045859855,1.755343,-95.35365295,754.48315430,409.00799561,746.09674072,158.34991455,142.54270935,0.017148402,0.017037973,0.24897756,0.24507347,gazeTarget,234.00000000,475.00000000
2020111917072868500,-0.033199534,-0.005976938,-0.008701454,0.999393,-0.012383452,-0.04684303,-0.27124688,0.062025655,-0.0046426835,0.011113475,0.99800193,0.0,0.0,0.0,-0.044858553,-0.016974472,-0.24492428,0.020646932,-0.017767606,-0.24402638,0.09245365,0.050973654,1.7491994,-0.0005609896,0.05213251,1.7546395,-99.18989563,759.52838135,404.51202393,752.35223389,157.78311157,141.91728210,0.01686788,0.016745009,0.24957629,0.24554197,gazeTarget,234.00000000,475.00000000
2020111917072868800,-0.034597524,-0.006617677,-0.00784089,0.99934876,-0.012331858,-0.047467154,-0.2713997,0.061290946,-0.005358397,0.011053308,0.99804443,0.0,0.0,0.0,-0.0448906,-0.017581318,-0.24520034,0.02061503,-0.01825749,-0.24422178,0.090743124,0.058669534,1.7487376,-0.0023135953,0.059698254,1.7541268,-101.57293701,764.56793213,401.83572388,758.32318115,156.91290283,140.87940979,0.016634388,0.01649996,0.24989493,0.24576938,gazeTarget,234.00000000,475.00000000
2020111917072869100,-0.037193593,-0.0064135273,-0.0069642263,0.9992633,-0.012553416,-0.048899416,-0.2712511,0.058806304,-0.0050510517,0.011687313,0.99818826,0.0,0.0,0.0,-0.045149826,-0.01893308,-0.24519087,0.02035736,-0.019492723,-0.2442424,0.09232665,0.07081195,1.7480599,-0.0007177871,0.07173111,1.7535654,-101.87323761,768.26147461,401.48498535,762.95733643,156.12284851,139.61865234,0.016393034,0.01624945,0.25003105,0.24586326,gazeTarget,234.00000000,475.00000000
2020111917072869200,-0.03770011,-0.0057833255,-0.006871795,0.9992488,-0.012638978,-0.049247015,-0.27115262,0.057991188,-0.0048589315,0.011916537,0.9982341,0.0,0.0,0.0,-0.045206137,-0.019258741,-0.24508105,0.02030228,-0.01980888,-0.24421543,0.09450243,0.07312399,1.7478935,0.0014698766,0.07404025,1.7534928,-99.54406738,768.20538330,403.88308716,763.00628662,155.71841431,138.61798096,0.016136326,0.015985815,0.24995843,0.24585716,gazeTarget,234.00000000,475.00000000
2020111917072869300,-0.036646146,-0.0052227154,-0.008374173,0.9992796,-0.01249155,-0.048822254,-0.2710709,0.058240794,-0.00498279,0.011348103,0.9982256,0.0,0.0,0.0,-0.04494177,-0.018791145,-0.24490303,0.020565487,-0.019541692,-0.24410383,0.09648603,0.07001655,1.7481127,0.003462216,0.07120949,1.753763,-94.48216248,768.44073486,409.08639526,761.61096191,155.84646606,137.68545532,0.015614612,0.015465668,0.24970055,0.24574682,gazeTarget,234.00000000,475.00000000
2020111917072869400,-0.035962522,-0.004683377,-0.009393383,0.999298,-0.012340401,-0.048601877,-0.27090845,0.058240794,-0.00498279,0.011348103,0.9982256,0.0,0.0,0.0,-0.04470246,-0.018540068,-0.24466676,0.020803865,-0.019427214,-0.24393368,0.09851511,0.06789053,1.7483251,0.005474503,0.06927249,1.7540393,-89.64241028,767.83331299,414.07977295,759.89733887,156.28909302,136.99874878,0.0151076075,0.014961308,0.24940702,0.2455888,gazeTarget,234.00000000,475.00000000
